osm_id,lat,lon,category,subtype,name
node/11395401353,22.2825294,91.7746329,Industrial,works,"R.S.B. Industrial Ltd., Plot 32-35, Chattogram"
node/11395411611,22.2808515,91.7767488,Industrial,works,"TK Outdoor Limited, Madraji Shah Road, Chattogram"
node/11395414149,22.2844633,91.7763811,Industrial,works,"BMS Co. Ltd., Chittagong Coastal Rd, Chattogram"
node/11395422158,22.2837056,91.7746658,Industrial,works,"Conda art materials Bangladesh Co Ltd (Unit - 2), 29/30 Road - 4, Chattogram"
node/11395424063,22.2835534,91.7732286,Industrial,works,"Luna Lite Company (BD) Ltd, Lighting manufacturer, CEPZ, Chattogram"
node/11395425790,22.2829515,91.7751701,Industrial,works,"RoseBally Toy Ind. Ltd, Clothing store, Plot-16, Road-4, Chattogram"
node/11395425792,22.2827678,91.7732866,Industrial,works,"UFM (BD) Limited, Clothing manufacturer, CEPZ, Chattogram"
node/11395443620,22.2823218,91.7751773,Industrial,works,"Papella Zeil Wears Ltd., Manufacturer, Papella, Chattogram"
node/11395445421,22.2840439,91.7739187,Industrial,works,"Mithun Knitting And Dyeing ( CEPZ ) Ltd., C.E.P.Z, Chattogram"
node/11395445422,22.2844388,91.7730332,Industrial,works,"BANGLADESH SPINNERS & KNITTERS (PVT.) LTD.,Plot-06-11, Chattogram"
node/11395450930,22.281761,91.7752346,Industrial,works,"GH Haewae company ltd, Papella, CEPZ, Chattogram"
node/11395456309,22.2793186,91.7742712,Industrial,works,"Kenpark Bangladesh Pvt. Ltd., CEPZ, Chattogram"
node/11395464470,22.2814644,91.7746079,Industrial,works,"Regency, Unit 5,Industry, CEPZ, Chattogram"
node/11395469285,22.2799501,91.776647,Industrial,works,"Siams Superior Ltd., CEPZ, Chattogram"
node/11395510875,19.1992139,73.0961983,Industrial,works,Vortex Baruffaldi Private Limited
node/11406465064,10.0865054,78.8548767,Industrial,works,Rice Mill
node/11407213119,7.0089678,80.6022981,Mining,quarry,
node/11409116716,22.2766978,91.7773819,Industrial,works,"New Good Smart Tailors & Fabrics, Unnamed Road, Chattogram"
node/11409271565,22.2769103,91.7776877,Industrial,works,"ALTAF COSMETIC & SOUND SYSTEM, Saikat Market, Akmal Ali Road, Chattogram"
node/11411567201,22.2756706,91.7783431,Industrial,works,"Fit fashion Garments manufacture, Akmal Ali Road, Chattogram"
node/11417499115,24.6198457,82.7878123,Industrial,works,Santosh Aata Chakki
node/11431615424,19.0071547,83.7851988,Industrial,works,Aditya Modren Rice Mills
node/11449308696,24.2173728,91.5091976,Industrial,works,জহির ব্রিকস
node/11449332771,24.2151344,91.5092327,Industrial,works,সততা ব্রিক ফিল্ড
